[train_family] forcing data_source=FAMILY
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-nlsw regimes=['N', 'L', 'S', 'W'] updates=2000
Ep 101	 reward -12.404	 ms 173.7	 loss 0.223555	 9.7s
Ep 102	 reward -12.475	 ms 174.7	 loss 0.162340	 9.6s
Ep 103	 reward -12.532	 ms 175.4	 loss 0.148120	 9.5s
Ep 104	 reward -12.575	 ms 176.1	 loss 0.133378	 9.7s
Ep 105	 reward -12.471	 ms 174.6	 loss 0.222726	 9.3s
Ep 106	 reward -12.557	 ms 175.8	 loss 0.008932	 8.3s
Ep 107	 reward -12.554	 ms 175.8	 loss 0.057695	 8.8s
Ep 108	 reward -12.486	 ms 174.8	 loss 0.048721	 9.6s
Ep 109	 reward -12.450	 ms 174.3	 loss 0.056661	 9.3s
Ep 110	 reward -12.539	 ms 175.6	 loss 0.068023	 9.6s
Ep 111	 reward -12.443	 ms 174.2	 loss 0.139631	 9.6s
Ep 112	 reward -12.464	 ms 174.5	 loss 0.058942	 9.7s
Ep 113	 reward -12.475	 ms 174.7	 loss 0.096410	 9.3s
Ep 114	 reward -12.471	 ms 174.6	 loss 0.127456	 8.1s
Ep 115	 reward -12.425	 ms 173.9	 loss 0.153429	 9.4s
Ep 116	 reward -12.436	 ms 174.1	 loss 0.077848	 9.4s
Ep 117	 reward -12.443	 ms 174.2	 loss 0.009815	 9.8s
Ep 118	 reward -12.461	 ms 174.4	 loss 0.160200	 9.5s
Ep 119	 reward -12.482	 ms 174.8	 loss 0.123564	 9.5s
Ep 120	 reward -12.425	 ms 173.9	 loss 0.062433	 9.7s
Ep 121	 reward -12.361	 ms 173.1	 loss 0.104262	 9.1s
Ep 122	 reward -12.496	 ms 174.9	 loss 0.133613	 8.5s
Ep 123	 reward -12.482	 ms 174.8	 loss 0.093704	 9.1s
Ep 124	 reward -12.389	 ms 173.4	 loss 0.085920	 9.7s
[vali @125] rel=0.8537 (best 0.8537)  N=130.2  L=210.9  S=192.1  W=148.8
Ep 125	 reward -12.386	 ms 173.4	 loss 0.039848	 39.2s
Ep 126	 reward -12.375	 ms 173.2	 loss 0.060899	 9.5s
